Path = ABCEHIHGDADBABCEF , value = 117
Path = ADGHIFEBEC , value = 48
Path = ABDHEDEHEFCECBECFEDGHDBABDBDADBADHFCFHEBADABCFHECEHDBCEHDABCBEDHFCFI , value = 446
Path = ABADHGHDBCFEFHDBCBEFEFCFHFEDABADGHEBADEHEFCBEHGDBECEDEFEFHDBABDABECEHDABEDGHFCBCFI , value = 552
Path = ABCFEBCEDADADBCFHGHI , value = 128
Path = ABCBDHGHGHIFHFCE , value = 112
Path = ADGDABADEBADGDABCFCEHEDHFHI , value = 205
Path = ADABEDGHEDADADADBABEBABEHDGHDHFCBEFHDEFEHDHDHI , value = 297
Path = ABDGDEHEHEBDGHDGDHIFIHDADGDEDGDHEC , value = 237
Path = ADGHIFHFIFHDHFIFCEB , value = 112
Path = ABDEFCEDBEBABABCFIHEHFCBABADG , value = 219
Path = ABDADABADBDEHGHIFHGDADADHGDHDBADGHEBEBEFHIHIFIFHGDHIFHEHDEBC , value = 397
Path = ADEDGHFCBEBEFI , value = 84
Path = ADGDEBEDBCEDHGDGDBDHECBDHDGHGDEHFHGHEHFEFI , value = 288
Path = ABECEHECFHDEFEFCEBCBCBCFCEFIHEDEHIHG , value = 242
Path = ABABADABEDBDADABEDGHDABCFHFHFI , value = 222
Path = ABCFHGHDEFCEHFI , value = 108
Path = ADADADBDGDEBADHIFC , value = 101
Path = ABCEFHEFCFEHFIFIHFIFCEBDADEHFEDHIHEBCFIFIFCEBCFECBEFHFHG , value = 351
Path = ABCEBECECFEFIHDECFEDG , value = 119
Path = ADADEHIHIFCEHFIHEDEBCFHEFIFHDBEHG , value = 230
Path = ADGHGHIHIHDADGHEDGDGDBCBDBCF , value = 198
Path = ABDBEBADECBEFEFHFEHEFEBADGDADBCEHDEFEFHDBABEFHGHFI , value = 318
Path = ABCEFIFEHEBADBCBECEFECBDG , value = 129
Path = ADGDABCFCFCBABDECEBABCECBDECBEHGHGDBDBECBEDEHGDBADABDEBCFEHECBDEHFECBDBDGDHI , value = 497
Path = ADGDADGDEFCEHECBDADHECEFEBADEHDGHEHDADHDEBDHDBCFHFI , value = 313
Path = ADGHDABADABEBEFCEBABADEDADHFHI , value = 206
Path = ADBEDGDGDGDBABADEHDEBEBABDHDHIFHDEBC , value = 239
Path = ADEHEBEBDHGHIFEC , value = 88
Path = ABDADGDGDGDBEDHDGDABDHGDBDADEFIHDHFIHGHGDGHEDHEBC , value = 325
Path = ABDHFECBDHEFECEBDABDADGHDGDEBABABCBDHI , value = 236
Path = ADBDBCEDGHFEHGHGDBEHFHEBEHFEDADHEHI , value = 241
Path = ADADABDEHGHGDHGDEFHDBDBDGHGHGHIFEFEHFEC , value = 265
Path = ADADADHEHFHGDGHIFHEFCEFHIHFIFIHIHIHEFECB , value = 287
Path = ABADEDABDEFIHEDEHEFHFHDGHFEHGHDBC , value = 266
Path = ADBCBADADGDABECEFIH , value = 106
Path = ADEHIHDGHGDEDEBEBABEFEHIFIHFHDHEDADADEFC , value = 290
Path = ABCEFCBEBDADEHIFCFHECEFCEDEFECBCEBDBCFIHIFEHFIHFIHFIHG , value = 344
Path = ABCFCBEFIHFCEBDEDG , value = 116
Path = ABEDECBCBADADGHDGHDGHEBEFEFI , value = 175
Path = ADHDEDADBCFHIHEHFEBEFCFEFCBCBADG , value = 210
Path = ABDHGHEHFCEDEBCBDHDEDHI , value = 163
Path = ADHEDECFHIFCFCBDBCFEDHEHDBADBADABCFEFCFHEHFHFHG , value = 339
Path = ADADHGHFCEFIFCEFEFCEHEDHDHGHGDADHEFHEFCFCEDAB , value = 290
Path = ABECEDADBADHIFIHIFEBDABCBEBCBEDG , value = 181
Path = ADABABDGHGDGDABEFCEFCEHFHDABEHDBABECEBCBDBCBECBEFHFCFEDHDECFCFCEDABEBCEFI , value = 457
Path = ADABCFCBECBDHGDGDHFHEFECECEHI , value = 179
Path = ADGDGHIHECEFHFIHFIFHDB , value = 150
Path = ABEBCFIFCEHFCEBCFCFIHEBDG , value = 140
Path = ADBADBEFIHFHDHIHIHEDHGDBDBDGHGDEDGHFC , value = 264
Path = ABEFIHFEDHEFEDEDADHIHDBDGHIFEDBADGHGHFIHEFEFHFC , value = 340
Path = ABCBEFCECFHIHGD , value = 100
Path = ABCEFHDBADEHIHG , value = 110
Path = ADHGHGDGHIFHFIFHGHEBC , value = 148
Path = ABEBDHGHEBADADGDEBCFCEFHGDEFI , value = 184
Path = ABEFEBCEHGDHECFEDEDEBDHFHI , value = 179
Path = ABEBABEHFCBDEBADADGDHDBCBCFHFHFECBEDBDADECBDECFHI , value = 325
Path = ADHEFHIFHFCFIFEFHIHEHIFCBCEDG , value = 204
Path = ABDADECFCBDABADHIHG , value = 128
Path = ADGDBDADABADGHDEBCFHGDGDBCFI , value = 180
Path = ADECBDADEFIHG , value = 79
Path = ADBCFEBABDECFHIHDHFIHFCEDEHG , value = 203
Path = ADADBEBADABADHECECFHIFECBEBEHDABECFHIFIFHEHDG , value = 260
Path = ABECFHGDGDEBADABECFHEHI , value = 166
Path = ADHDHIFHDADEDECEHIHGDAB , value = 161
